ID,ID_APPLICATION,PERMISSION_NAME,DESCRIPTION
1,2,Administer,"Full Access"
2,3,Administer,"Full Access"
3,4,Administer,"Full Access"
4,1,Administer,"Full Access"
8,2,View,"view most data"
9,3,View,"view most data"
10,4,View,"view most data"
11,1,View,"view most data"
15,2,Edit,"typical user privilege"
16,3,Edit,"typical user privilege"
17,4,Edit,"typical user privilege"
18,1,Edit,"typical user privilege"
22,3,"Edit BlackRhino","Ship specific editing"
23,3,"Edit BlackLion","Ship specific editing"
24,2,"Edit Demo Ship","Ship specific editing"
